,,,,Margin,Dollars,Dollars,Dollars,Sale_Date,Volume Sold (Liters),Volume Sold (Liters),MarginRatio,day_of_sale,DaysOpen,AverageSalesPerDay,MarginRatio,Dollars,Dollars,Margin,Volume Sold (Liters),Volume Sold (Liters),MarginRatio,Dollars,Dollars,Margin,Volume Sold (Liters),Volume Sold (Liters),Dominant_Sale_Category
,,,,Mean2015,AverageDollars2015,NumberOfSales2015,TotalDollars2015,DaysOpenTemp,AverageVolume2015,TotalVolume2015,Median2015,DaysOpenTemp,,,Median2015q1,AverageDollars2015q1,TotalDollars2015q1,Mean2015q1,AverageVolume2015q1,TotalVolume2015q1,Median2016q1,AverageDollars2016q1,TotalDollars2016q1,Mean2016q1,AverageVolume2016q1,TotalVolume2016q1,
Store Number,Zip Code,City,County Number,,,,,,,,,,,,,,,,,,,,,,,,
2106,50613,CEDAR FALLS,7.0,5.16095057034,277.640114068,526.0,146038.7,1970-01-01 00:00:00.000000052,18.4788022814,9719.85,0.333333333333,3,3,3.37179487179,0.333333333333,304.552635659,39287.29,5.03372093023,19.5821705426,2526.1,0.333477512535,241.89484127,30478.75,5.19650793651,16.7956349206,2116.25,
2113,50543,GOWRIE,94.0,5.44510204082,63.334829932,147.0,9310.22,1970-01-01 00:00:00.000000047,4.4887755102,659.85,0.333333333333,3,3,0.942307692308,0.333333333333,67.4583333333,2833.25,5.275,4.2169047619,177.11,0.333481547354,55.8351351351,2065.9,5.36783783784,4.78378378378,177.0,
2130,50703,WATERLOO,7.0,4.91800511509,285.38084399,391.0,111583.91,1970-01-01 00:00:00.000000052,17.5942966752,6879.37,0.333333333333,3,3,2.50641025641,0.333333333333,278.995057471,24272.57,5.14091954023,16.6350574713,1447.25,0.333333333333,238.086410256,27856.11,5.31222222222,13.3068376068,1556.9,
2178,52172,WAUKON,3.0,4.86886075949,102.633670886,237.0,24324.18,1970-01-01 00:00:00.000000051,8.08911392405,1917.12,0.333333333333,3,3,1.51923076923,0.333485011094,122.008541667,5856.41,4.93208333333,8.53770833333,409.81,0.33348115404,96.3534482759,5588.5,4.64896551724,8.97931034483,520.8,
2190,50314,DES MOINES,77.0,5.77425855513,92.5392091255,1315.0,121689.06,1970-01-01 00:00:00.000000169,4.8077338403,6322.17,0.333333333333,6,6,4.21474358974,0.333333333333,84.8787319885,29452.92,5.46804034582,4.80282420749,1666.58,0.333333333333,106.0102,31803.06,6.3789,4.8237,1447.11,
2191,52632,KEOKUK,56.0,5.77808724832,209.88840604,596.0,125093.49,1970-01-01 00:00:00.000000052,13.5122818792,8053.32,0.333333333333,3,3,3.82051282051,0.333333333333,192.619668874,29085.57,5.82754966887,12.9621192053,1957.28,0.333402792248,331.036363636,47338.2,5.67517482517,20.4763636364,2928.12,
2200,50583,SAC CITY,81.0,5.62086848635,56.6043424318,403.0,22811.55,1970-01-01 00:00:00.000000051,4.50928039702,1817.24,0.333333333333,3,3,2.58333333333,0.333333333333,58.338452381,4900.43,5.87904761905,4.37761904762,367.72,0.333333333333,50.9130487805,4174.87,5.68109756098,3.88756097561,318.78,
2228,50273,WINTERSET,61.0,4.87541666667,72.758625,240.0,17462.07,1970-01-01 00:00:00.000000051,5.69854166667,1367.65,0.333333333333,3,3,1.53846153846,0.333416513301,86.5661666667,5193.97,4.8845,6.76033333333,405.62,0.33345033345,46.7633333333,3086.38,5.11257575758,3.16439393939,208.85,
2233,51360,SPIRIT LAKE,30.0,5.86211618257,122.627966805,241.0,29553.34,1970-01-01 00:00:00.000000051,10.2933195021,2480.69,0.333333333333,3,3,1.54487179487,0.333333333333,124.989534884,5374.55,5.86325581395,9.76395348837,419.85,0.333393665158,133.115306122,6522.65,7.4612244898,9.74734693878,477.62,
2248,50312,DES MOINES,77.0,7.53473913043,147.134913043,460.0,67682.06,1970-01-01 00:00:00.000000058,6.12032608696,2815.35,0.333333333333,4,4,2.21153846154,0.333384426732,125.382970297,12663.68,7.37237623762,6.43108910891,649.54,0.333409652301,145.817083333,13998.44,7.58229166667,5.72041666667,549.16,
2285,52240,IOWA CITY,52.0,6.82960784314,251.395784314,306.0,76927.11,1970-01-01 00:00:00.000000051,12.6155228758,3860.35,0.333333333333,2,2,2.94230769231,0.333333333333,172.743448276,10019.12,8.15068965517,8.68017241379,503.45,0.333333333333,239.976666667,12238.81,7.05215686275,13.0098039216,663.5,
2290,50588,STORM LAKE,11.0,5.28149807939,72.0738284251,781.0,56289.66,1970-01-01 00:00:00.000000052,4.63565941101,3620.45,0.333333333333,3,3,5.00641025641,0.333444481494,76.0072327044,12085.15,5.42018867925,5.12786163522,815.33,0.333333333333,48.8159607843,12448.07,4.95192156863,3.36541176471,858.18,
2327,50841,CORNING,2.0,5.09984126984,54.2070899471,189.0,10245.14,1970-01-01 00:00:00.000000049,4.35068783069,822.28,0.333333333333,3,3,1.21153846154,0.333333333333,52.4093023256,2253.6,4.99511627907,4.26209302326,183.27,0.333333333333,48.8126666667,2196.57,5.05444444444,3.53555555556,159.1,
2413,52001,DUBUQUE,31.0,5.02654885655,187.245363825,481.0,90065.02,1970-01-01 00:00:00.000000054,13.0172349272,6261.29,0.333333333333,4,4,2.3125,0.333333333333,198.753628319,22459.16,5.19362831858,13.6138938053,1538.37,0.333333333333,186.387560976,22925.67,5.41804878049,12.987804878,1597.5,
2445,51560,OAKLAND,78.0,4.94947368421,42.0437426901,171.0,7189.48,1970-01-01 00:00:00.000000048,3.34380116959,571.79,0.333333333333,3,3,1.09615384615,0.333437871344,37.97125,1215.08,4.8421875,2.9721875,95.11,0.333333333333,49.0817241379,1423.37,5.31689655172,4.14206896552,120.12,
2448,50125,INDIANOLA,91.0,5.04914841849,43.1647201946,411.0,17740.7,1970-01-01 00:00:00.000000052,3.030486618,1245.53,0.333333333333,3,3,2.63461538462,0.333333333333,50.4992857143,5655.92,5.14642857143,3.25910714286,365.02,0.333333333333,71.6827659574,6738.18,5.12468085106,4.39893617021,413.5,
2459,50115,GUTHRIE CENTER,39.0,4.0262037037,68.0771296296,108.0,7352.33,1970-01-01 00:00:00.000000036,5.62259259259,607.24,0.333444481494,4,4,0.519230769231,0.333515310839,73.1622727273,1609.57,4.14409090909,6.22727272727,137.0,0.333485581814,75.1625,1803.9,4.83833333333,5.875,141.0,
2465,52003,DUBUQUE,31.0,5.89792838875,66.0659846547,391.0,25831.8,1970-01-01 00:00:00.000000051,4.38158567775,1713.2,0.333333333333,4,4,1.87980769231,0.333333333333,57.3060204082,5615.99,5.91224489796,4.08285714286,400.12,0.333453496756,76.3739130435,5269.8,7.08449275362,5.01202898551,345.83,
2475,50597,WEST BEND,55.0,5.63067567568,144.338783784,74.0,10681.07,1970-01-01 00:00:00.000000038,14.1208108108,1044.94,0.333333333333,3,3,0.474358974359,0.333333333333,283.638,5672.76,6.0065,32.7075,654.15,0.333333333333,149.6896875,4790.07,5.8475,14.78875,473.24,
2478,50009,ALTOONA,77.0,7.01372093023,230.705232558,86.0,19840.65,1970-01-01 00:00:00.000000043,12.0697674419,1038.0,0.333333333333,4,4,0.413461538462,0.333333333333,234.728947368,4459.85,6.82526315789,11.0526315789,210.0,0.333456153279,212.505714286,4462.62,6.70857142857,10.7142857143,225.0,
2498,50606,ARLINGTON,33.0,3.10551724138,38.9598275862,58.0,2259.67,1970-01-01 00:00:00.000000021,3.9675862069,230.12,0.333545513186,2,2,0.557692307692,0.333476640871,27.922,279.22,2.523,2.787,27.87,0.333333333333,43.3522222222,780.34,3.425,3.57055555556,64.27,
2500,50010,AMES,85.0,5.21126378287,126.481450382,1179.0,149121.63,1970-01-01 00:00:00.000000055,8.51497031383,10039.15,0.333333333333,3,3,7.55769230769,0.333333333333,142.676950355,40234.9,5.15528368794,11.2083687943,3160.76,0.333333333333,99.2649705882,33750.09,5.07564705882,6.36044117647,2162.55,
2501,50010,AMES,85.0,5.00360655738,113.062966432,1281.0,144833.66,1970-01-01 00:00:00.000000052,7.77470725995,9959.4,0.333333333333,3,3,8.21153846154,0.333333333333,97.8596573209,31412.95,5.1062305296,6.75591900312,2168.65,0.333333333333,110.545468165,29515.64,4.70895131086,7.73576779026,2065.45,
2502,50021,ANKENY,77.0,5.63348504551,195.18076723,769.0,150094.01,1970-01-01 00:00:00.000000055,13.9116905072,10698.09,0.333407226779,4,4,3.69711538462,0.33339360949,209.681170213,39420.06,5.41409574468,16.675106383,3134.92,0.333333333333,104.856722222,18874.21,5.39016666667,7.12883333333,1283.19,
