,State,Rate,Verbal,Math,rate_greater_than_40,US_States,State_Pop,Planted_Acres_x,Planted_Acres_y,Planted_Acres_per_Capita
0,CT,82,509,510,True,CT,3574097,16082520.8751,4358388.1687,1.21943757226
1,NJ,81,499,513,True,NJ,8791894,16082520.8751,7227234.388,0.822033840262
2,MA,79,511,515,True,MA,6547629,16082520.8751,1354220.936,0.20682615585
3,NY,77,495,505,True,NY,19378102,16082520.8751,75176294.8047,3.87944571686
4,NH,72,520,516,True,NH,1316470,16082520.8751,1846348.104,1.40249918646
5,RI,71,501,499,True,RI,1052567,16082520.8751,237551.519,0.225687788996
6,PA,71,500,499,True,PA,12702379,16082520.8751,37098443.3771,2.92059018056
7,VT,69,511,506,True,VT,625741,16082520.8751,5147200.924,8.22576900667
8,ME,69,506,500,True,ME,1328361,16082520.8751,3027834.421,2.27937617937
9,VA,68,510,501,True,VA,8001024,16082520.8751,33462086.1178,4.18222543987
10,DE,67,501,499,True,DE,897934,16082520.8751,2147917.1383,2.39206571786
11,MD,65,508,510,True,MD,5773552,16082520.8751,9460060.0704,1.63851647485
12,NC,65,493,499,True,NC,9535483,16082520.8751,23408770.7196,2.45491190321
13,GA,63,491,489,True,GA,9687653,16082520.8751,23922652.313,2.46939607694
14,IN,60,499,501,True,IN,6483802,16082520.8751,62049871.811,9.56998252121
15,SC,57,486,488,True,SC,4625364,16082520.8751,9624547.15,2.08081940146
16,DC,56,482,474,True,DC,601723,16082520.8751,,
17,OR,55,526,526,True,OR,3831074,16082520.8751,48699160.934,12.7116210582
18,FL,54,498,499,True,FL,18801310,16082520.8751,10038541.0555,0.533927745221
19,WA,53,527,527,True,WA,6724540,16082520.8751,48163640.195,7.16236949962
20,TX,53,493,499,True,TX,25145561,16082520.8751,247321240.078,9.83558251405
21,HI,52,485,515,True,HI,1360301,16082520.8751,1368522.28,1.00604372121
22,AK,51,514,510,True,AK,710231,16082520.8751,194766.1,0.274229229645
23,CA,51,498,517,True,CA,37253956,16082520.8751,67428258.418,1.80996236797
24,AZ,34,523,525,False,AZ,6392017,16082520.8751,87042519.3,13.6173791935
25,NV,33,509,515,False,NV,2700551,16082520.8751,71149142.275,26.3461576082
26,CO,31,539,542,False,CO,5029196,16082520.8751,91107503.0167,18.1157192952
27,OH,26,534,439,False,OH,11536504,16082520.8751,73881345.3727,6.40413641539
28,MT,23,539,539,False,MT,989415,16082520.8751,156340373.018,158.012939988
29,WV,18,527,512,False,WV,1852994,16082520.8751,2463088.151,1.32924777468
30,ID,17,543,542,False,ID,1567582,16082520.8751,32350191.854,20.6370013524
31,TN,13,562,553,False,TN,6346165,16082520.8751,36597170.194,5.76681668283
32,NM,13,551,542,False,NM,2059179,16082520.8751,76387895.765,37.0962872897
33,IL,12,576,589,False,IL,12830632,16082520.8751,116733379.709,9.09802258447
34,KY,12,550,550,False,KY,4339367,16082520.8751,38626924.6989,8.90151137226
35,WY,11,547,545,False,WY,563626,16082520.8751,61806409.1831,109.658548724
36,MI,11,561,572,False,MI,9883640,16082520.8751,30769936.258,3.11321904258
37,MN,9,580,589,False,MN,5303925,16082520.8751,98290776.3992,18.5317055575
38,KS,9,577,580,False,KS,2853118,16082520.8751,175149548.745,61.3888204922
39,AL,9,559,554,False,AL,4779736,16082520.8751,16082520.8751,3.36472995059
40,NE,8,562,568,False,NE,1826341,16082520.8751,160470894.618,87.8646948284
41,OK,8,567,561,False,OK,3751351,16082520.8751,82064041.3295,21.8758632102
42,MO,8,577,577,False,MO,5988144,16082520.8751,74687853.1708,12.4726214284
43,LA,7,564,562,False,LA,4533372,16082520.8751,18284697.3724,4.03335472412
44,WI,6,584,596,False,WI,5686986,16082520.8751,49546188.638,8.71220513608
45,AR,6,562,550,False,AR,2915918,16082520.8751,39643530.953,13.5955575407
46,UT,5,575,570,False,UT,2763885,16082520.8751,50609359.184,18.31094969
47,IA,5,593,603,False,IA,3046355,16082520.8751,131436546.482,43.1455120897
48,SD,4,577,582,False,SD,814180,16082520.8751,123925630.784,152.209131622
49,ND,4,592,599,False,ND,672591,16082520.8751,119769346.8,178.071587042
50,MS,4,566,551,False,MS,2967297,16082520.8751,27874193.746,9.39379972615
