company,culture,job_addr,job_description,job_posted,job_security_advance,job_title,link,management,reviews_score,reviews_total,salary,salary_benefits,salary_bins,work_life_bal,salary_bins_int
KPMG,3.8,"New York, NY 10154 (Midtown area)","
We are currently seeking a Cognitive AI Data Scientist, to join our New York office, with other locations considered....",28 days ago,3.8,Cognitive AI Data Scientist,http://www.indeed.com/rc/clk?jk=8443d7ba675e111f&fccid=2dd390c3a48a7ed0,3.7,4.0,"1,759",-,3.6,"$55,000+",3.4,55000
OnDeck,4.0,"New York, NY","
Using industry technologies, tools and data mining frameworks for data analytics including data visualization for analyzing and drawing conclusions,....",1 day ago,4.0,Data Analyst,http://www.indeed.com/rc/clk?jk=3b8698940dfae0c3&fccid=48638adc95945cc6,3.5,4.3,3,-,3.0,"$55,000+",3.5,55000
Knewton,4.0,"New York, NY 10003 (Greenwich Village area)","
You will join a world-class team of data scientists and engineers who are pushing the boundaries of machine learning....",30+ days ago,4.0,Data Science Internship,http://www.indeed.com/rc/clk?jk=39367ef1068a38e6&fccid=122a375390046a83,3.0,4.0,-,-,4.0,"$55,000+",3.0,55000
General Assembly,4.1,"New York, NY 10010 (Gramercy area)","
Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of...",3 days ago,3.8,Part Time Data Science Instructor,http://www.indeed.com/rc/clk?jk=ef6e2adc8bedddcd&fccid=a4cd0efa7775ecd2,4.0,4.3,74,-,4.1,"$55,000+",4.0,55000
Meetup,4.5,"New York, NY 10012 (Little Italy area)","
Analysts specialize into Strategists or Data Scientists as they develop additional skills and take on more project responsibility....",20 days ago,3.3,Strategy Analyst (Data),http://www.indeed.com/rc/clk?jk=e1acb6feb201bc48&fccid=2c6676b98da07f45,3.7,4.7,3,-,3.0,"$55,000+",4.7,55000
RSquare Edge Corp,-,"New York, NY","
Experience working with large complex data sets across various data forms (table driven data, text data, audio data and other form of web data)....",30+ days ago,-,Data Scientist,http://www.indeed.com/cmp/RSquare-Edge-Corp/jobs/Data-Scientist-5ed0b61bcc480f4a?r=1&fccid=31cf1704345f9121,-,3.9,-,-,-,"$55,000+",-,55000
Clarifai,-,"New York, NY 10010 (Gramercy area)","
Handle internet-scale data sets and the unique problems that they pose. Clarifai is an artificial intelligence company that excels in visual recognition,...",23 days ago,-,"Internship: Research Scientist, Deep Learning / Computer Vis...",http://www.indeed.com/rc/clk?jk=2c74162363775c2a&fccid=0bfd6b75d98e7714,-,3.6,-,-,-,"$55,000+",-,55000
DBRS,2.8,"New York, NY 10005 (Financial District area)","
The Lead Data Scientist role is a unique and exciting opportunity to take on global ownership of the mortgage modeling process....",30+ days ago,2.8,"Lead Data Scientist, US RMBS",http://www.indeed.com/rc/clk?jk=224a4c0a33c4f393&fccid=3885a630003d7e58,2.5,3.0,4,-,3.0,"$55,000+",3.3,55000
Gemological Institute of America,3.4,"New York, NY 10065 (Upper East Side area)","
Experience leading a high-performing team of data scientists. Investigates opportunities for data mining and statistical inference from large data sets....",30+ days ago,3.4,"Manager, Data Science",http://www.indeed.com/rc/clk?jk=d2cfa24598fec3c8&fccid=d0753f72179ddc47,3.1,3.8,48,-,3.6,"$55,000+",3.6,55000
Crisis Text Line,5.0,"New York, NY","
Chief Data Scientist. The Data Scientist's role at Crisis Text Line is to support staff in making smarter decisions through data....",30+ days ago,3.0,Data Scientist,http://www.indeed.com/rc/clk?jk=4409120c119aaad4&fccid=d0a62972bb1812fd,4.0,5.0,4,-,3.0,"$55,000+",5.0,55000
