company,culture,job_addr,job_description,job_posted,job_security_advance,job_title,link,management,reviews_score,reviews_total,salary,salary_benefits,salary_bins,work_life_bal,salary_bins_int
RAY ALLEN,-,"Chicago, IL 60654 (Loop area)","
In need of a detail-oriented, analytical problem solver for a full-time Associate Data Scientist. 2+ years Data Analysis experience....",2 days ago,-,Associate Data Scientist,http://www.indeed.com/rc/clk?jk=3a982c164ab623ef&fccid=e5a2c06c5d17f0c6,-,4.3,-,-,-,"$55,000+",-,55000
Dupage Medical Group,2.9,"Downers Grove, IL","
3+ years' experience analyzing large data sets. Experience with healthcare data – both clinical and financial....",8 hours ago,2.6,Data Scientist-Analytics,http://www.indeed.com/rc/clk?jk=1b54efb6b0ab5ee2&fccid=7c91c4b781cb8588,2.6,3.1,70,-,2.7,"$55,000+",3.2,55000
MAKE Corporation,3.4,"Chicago, IL 60614 (Lincoln Park area)","
Develop data science expertise. Identifying opportunities to innovate on top of the CLS data, which promote skills in Data Analytics....",13 days ago,2.2,Data Scientist,http://www.indeed.com/company/MAKE-Corporation/jobs/Data-Scientist-2f4671c22c24973d?r=1&fccid=11956bc407b957c6,3.4,4.4,-,-,3.0,"$55,000+",3.6,55000
General Assembly,4.1,"Chicago, IL","
Data visualization techniques; Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of the newest generation of data...",3 days ago,3.8,Part-time Data Science Instructor,http://www.indeed.com/rc/clk?jk=18daa6de0b68dd8b&fccid=a4cd0efa7775ecd2,4.0,4.3,74,-,4.1,"$55,000+",4.0,55000
Precima,5.0,"Chicago, IL","
The Data Scientist will provide process execution support for client projects. Take analytical objectives and define data requirements....",30+ days ago,4.0,Data Scientist,http://www.indeed.com/rc/clk?jk=dfb147b84568b8ec&fccid=f5a909039d4f9511,5.0,4.0,-,-,2.0,"$55,000+",3.0,55000
University of Chicago,4.1,"Chicago, IL","
Oversees activities related to data collection and analysis. The Research Manager will be working 50% in the Liao Lab and 50% with the 5 junior scientists in...",5 days ago,3.8,Research Manager,http://www.indeed.com/rc/clk?jk=096828b5525e3324&fccid=5cb727313a823dd6,3.8,4.3,226,-,4.1,"$55,000+",4.1,55000
WSP | Parsons Brinckerhoff,3.8,"Chicago, IL","
Â€¢Provide accurate estimates for and track data on time spent adding new features and fixing defects. Approximately 34,500 employees, including engineers,...",5 days ago,2.5,Client Support Analyst,http://www.indeed.com/rc/clk?jk=f728b274e74a306e&fccid=a0ecbc8328064f26,3.3,4.0,5,-,2.5,"$55,000+",3.5,55000
Civis Analytics,5.0,"Chicago, IL","
Experience working with imperfect data. To help you learn and succeed, you will be paired with a data scientist mentor from our team — we strive to grow the...",28 days ago,3.0,Data Science Research & Development Internship - Summer 2017,http://www.indeed.com/rc/clk?jk=d7505f53f77d262d&fccid=85806092f576a90e,3.0,4.0,-,-,3.0,"$55,000+",4.0,55000
General Assembly,4.1,"Chicago, IL","
Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers...",30+ days ago,3.8,Lead Data Science Instructor,http://www.indeed.com/rc/clk?jk=3bc852a0b9cf89da&fccid=a4cd0efa7775ecd2,4.0,4.3,74,-,4.1,"$55,000+",4.0,55000
Ipsos North America,3.4,"Chicago, IL","
Find new spins on data visualization, attend and learn at the presentation stage. The ideal candidate is a business-minded individual who is interested in and...",14 days ago,3.0,Loyalty - Research Analyst (Entry-Level),http://www.indeed.com/rc/clk?jk=3ff04396624569d1&fccid=d73294b71d7f0354,3.2,3.6,184,-,3.3,"$55,000+",3.5,55000
