,tconst,reviews
0,tt0111161,"Why do I want to write the 234th comment on The Shawshank Redemption? I am not sure - almost everything that could be possibly said about it has been said. But like so many other people who wrote comments, I was and am profoundly moved by this simple and eloquent depiction of hope and friendship and redemption. 

The only other movie I have ever seen that effects me as strongly is To Kill a Mockingbird. Both movies leave me feeling cleaner for having watched them.

I didn't intend to see this movie at all: I do not like prison movies and I don't normally watch them. I work at a branch library and one day as I was checking The Shawshank Redemption out to one of our older patrons, she said to me, ""Whenever I feel down or depressed, I check out this movie and watch it and it always makes me feel better."" At the time, I thought that was very strange. One day there was nothing on TV except things I absolutely would not watch under any circumstance or things that I had seen too many times already. I remembered what she said, so I watched it. I have watched it many many times since then and it gets better with every showing.

No action, no special effects - just men in prison uniforms talking to each other.

The Shawshank Redemption and To Kill a Mockingbird are the best movies I have ever seen. I do not judge it by it's technical merits - I don't really care about that. I have read that Citizen Kane or The Godfather or this or that movie is the best movie ever made. They may have the best technique or be the most influential motion pictures ever made, but not the best. The best movies are ones that touch the soul. It takes a movie like The Shawshank Redemption to touch the soul."
1,tt0068646,"Rather than concentrating on everything that is great about The Godfather, a much easier way for me to judge its quality is on what is bad about it. Almost every film has something that I don't like about it, but I can honestly say that I wouldn't change anything about The Godfather. There is nothing weak about it and nothing that stands out as bad. That's why it gets ten out of ten.

This is one of those films that made me wonder why I hadn't seen it earlier. The acting from everyone involved is great, Marlon Brando comes across perfectly as the head of the family, and James Caan and Al Pacino are excellent as his sons. The soundtrack by Nino Rota is also very memorable, bringing back memories of the film every time I hear it. The plot has to be excellent for it to get ten out of ten, and it is, it's far from predictable and the film is the definition of a great epic.

The film is pretty shocking in the way every death occurs almost instantaneously, and as it spans ten years so many different things happen and every minute of it is great entertainment. It's a well-made and entertaining film that is only the first part of a trilogy, but it stands on its own as a wonderful film in its own right. If you haven't seen it, what are you waiting for? This was one acclaimed film that didn't disappoint."
2,tt0071562,"
This movie is way to be good to be labelled a sequel to The Godfather . Rather it is more of a companion piece to the original and the two perfectly compliment each other . IT is both a sequel and prequel showing the rise of the young vito and moral decline of Micheal . Both characters are brought to life with uncanny ability by Robert  DeNiro and Al Pacino . To say that these two are good actors is like saying that a nuclear bomb makes a loud noise and in this movie they prove why they are at the top of their respective crafts .

Al Pacino is the standout in the ensemble cast and its amazing how his eyes have changed from the first part . They are now cold , ruthless and unemotional and betray the price which Micheal Corleone has paid for power .

Watch this movie and learn why it is the greatest gangster film of all time.
"
3,tt0468569,"We've been subjected to enormous amounts of hype and marketing for the Dark Knight. We've seen Joker scavenger hunts and one of the largest viral campaigns in advertising history and it culminates with the actual release of the movie.

Everything that's been said is pretty much spot on. This is the first time I can remember where a summer blockbuster film far surpasses the hype.

For as much action as there is in this movie, it's the acting that makes it a great piece of work. Between all the punches, explosions and stunt-work is some great dialog work. All the actors have their moments.

Bale's Batman is the definitive Batman because we see everything in this character finally on film. Martial arts skills, cunning, great tactical thinking, forensic application, technological genius to advance or improve Luscious Fox's inventions/technological breakthroughs, intimidating personality, and even a little swashbuckling. 

As for Heath, yes he gets credit for his performance as the Joker. But you have to also recognize Jonathan and Chris Nolan for the writing and treatment of the character. It's not just the fact that Ledger makes the Joker so menacing, but the Nolans have given the character this great manifesto that drives its actions. The Joker's stance on chaos, order, anarchy, the morality of the average modern human being make the character so interesting psychologically. The Nolans drafted a complex character and only a perfect performance could've pulled something like this off. That's how difficult of a role this was, and that's why Ledger's performance is so great.

This isn't an action movie. It's a film that explores literary themes of the hero and villain, as well as order and anarchy. Yes, listen to the dialog because it's all in there."
4,tt0050083,"
An excellent courtroom drama with a unique twist. Instead of following the trial itself, the viewer has a unique chance to observe the events behind the closed doors of a jury room. The film begins with the end of the trial. The jurors retire to deliberate the case. A preliminary vote is taken and the result is 11:1 in favour of the guilty verdict. Eleven jurors have raised their hands to convict a young man of killing his father. Only Juror #8 has doubts. At first even he does not truly believe the young man to be innocent but notes (rightfully) that the case for the defence might have been presented in a more convincing manner and that the boy might be given the benefit of a doubt. Since the boy is to be executed if found guilty his life is now in the hands of the jury and juror #8 reasons that the least they could do is talk about the case a bit. As time goes on some of the jurors change their minds and find that there is perhaps enough reasonable doubt not to convict the young man after all. But not everyone is easy to convince.

Although the plot of the film is excellent and it is fascinating to see what little things can influence which way a verdict goes, where this film really succeeds is in presenting the characters of the 12 jurors. The character of each of the jurors emerges through a wonderful mix of perfect casting, excellent dialogue and near-flawless acting.

Juror #1 - a simple man who clearly does not understand the full complexity of the task that lies before him but is trying to do everything not to let anyone else find this out. He appears at ease only once during the film - when he talks about football. He has the misfortune to be selected foreman of the jury - a task he clearly does not relish.

Juror #2 - a small, quite man, clearly unaccustomed to giving his own opinion much less to expecting his views to be of any importance. Apparently he finds solace in his job - he is an accountant.

Juror #3 - probably the most complex personality in the film. Starts off like a pleasant self-made successful businessman, he analyses the case impartially, explains his arguments well and is reasonably self assured. As time goes on he becomes more and more passionate and seems to be somehow personally involved with the case.  He also starts to show some signs of slight mental instability. Wonderfully played by Lee J. Cobb - this is the character you remember after the film is over.

Juror #4 - self assured, slightly arrogant stockbroker. Obviously considers himself more intelligent than anyone else in the room, he approaches the case with cool heartless logic but (as one of the jurors says - ""this is not an exact science"") he does not take into account the feelings, the passions, the characters of the people involved in the case. He is conspicuous by the fact that he is the only juror that does not take his jacket off (it is a very hot day).

Juror #5 - here is a man under great emotional stress. He comes from the same social background as the accused boy - with who he almost unwillingly seems to identify with. Paradoxically this appears one of the main reasons for him voting guilty - he does not want compassion to influence him - so ironically it does.

Juror #6 - a simple man, quite readily admitting that everyone in the room is better qualified than he is to make decisions and offer explanations. But he really wants to see justice done and it worries him that he might make a mistake.

Juror #7 - the only one that really has no opinion on this case. Literally throughout the film his thoughts are never on the case - he talks of baseball, of the heat, of fixing the fan but the only reason he has for voting this way or that is to speed things up a bit so he might be out of the jury room as soon as possible. Not an evil man he just has no sense of morality whatsoever - he can tell right from wrong but does not seem to think it's worth the bother.

Juror #8- a caring man, has put more thought into the case than any of the other jurors. He tries to do his best even in the face of seemingly impossible odds.

Juror #9 - a wise old man with his great life experience has quite a unique way of looking at the case.

Juror #10 - the most horrifying character in the film. Votes guilty and does not even try to hide the fact that he does so only because of the boy's social background. The tragedy comes from the fact that his own social position is only a cut above the boy's - which makes him all the more eager to accentuate the difference.

Juror #11 - an immigrant watchmaker, careful methodical man, well mannered and soft spoken. respects the right of people to have different opinion to his - and is willing to look at both sides of the problem. Loses his temper only once - horrified by the complete indifference of juror #7.

Juror #12 - a young business type - perhaps he has his own opinions - but is careful to hide them. What he has learnt out of life seems to be that intelligence is equal with agreeing with what the majority of people think.

The film succeeds in doing something very rare today - developing an intelligent plot while also developing 12 believable, memorable and distinct characters.
"
5,tt0108052,"I know many of you, out there will disagree with me, when I say that Schindler's List is one of the greatest film that there has ever been. It does sound that I'm extremely overrating it, but I truly believe that Schindler's List is up there with The Godfather and Citizen Kane I mean everything about is so good, that its close to perfection.

The acting is brilliant, every actor does an amazing job. Liam Neeson as Schindler is incredible, no doubt about it. He should of won an Oscar for Best Actor. Ralph Fiennes is the one, who truly is the best actor in the film. He plays his antagonist role as Amon Goeth, so well that it is a travesty, he didn't win an Oscar for Best Supporting Actor.

I'm happy though, that the Academy chose this film for Best Picture, it was one of the best decisions they ever made. Because if this film wasn't considered Best Picture by the Academy, I don't know which film would be, expect maybe for The Godfather.

Steven Spielberg certainly deserved an Oscar for Best Director. It was a smart idea for Steven Spielberg to make this film in black-white because it made the movie more bleak, emotional, hopelessness. But you see small patches of color -- A candle and a child's coat bringing the evilness of the tragedy into a agonizing focus.

There's no doubt about it, this film will be a classic in decades, even hundreds of years to come in cinema. This film is without a doubt, the Best film that Spielberg has ever made. With many other Steven Spielberg's classics like Jurassic Park,Jaws,E.T, Raider of the Lost Ark, Saving Private Ryan, etc. Schindler's List will always be Steven Spielberg's most finest, important film. He blends his humanism to the tragic horror of the Holocaust to create an emotional masterpiece.

10/10 Absolutely Recommended!"
6,tt0110912,"One of the early scenes in ""Pulp Fiction"" features two hit-men discussing what a Big Mac is called in other countries. Their dialogue is witty and entertaining, and it's also disarming, because it makes these two thugs seem all too normal. If you didn't know better, you might assume these were regular guys having chit-chat on their way to work. Other than the comic payoff at the end of the scene, in which they use parts of this conversation to taunt their victims, their talk has no relevance to anything in the film, or to anything else, for that matter. Yet without such scenes, ""Pulp Fiction"" wouldn't be ""Pulp Fiction."" I get the sense that Tarantino put into the film whatever struck his fancy, and somehow the final product is not only coherent but wonderfully textured.

It's no wonder that fans spend so much time debating what was in the suitcase, reading far more into the story than Tarantino probably intended. The film is so intricately structured, with so many astonishing details, many of which you won't pick up on the first viewing, that it seems to cry out for some deeper explanation. But there is no deeper explanation. ""Pulp Fiction,"" is, as the title indicates, purely an exercise in technique and style, albeit a brilliant and layered one. Containing numerous references to other films, it is like a great work of abstract art, or ""art about art."" It has all the characteristics we associate with great movies: fine writing, first-rate acting, unforgettable characters, and one of the most well-constructed narratives I've ever seen in a film. But to what end? The self-contained story does not seem to have bearing on anything but itself.

The movie becomes a bit easier to understand once you realize that it's essentially a black comedy dressed up as a crime drama. Each of the three main story threads begins with a situation that could easily form the subplot of any standard gangster movie. But something always goes wrong, some small unexpected accident that causes the whole situation to come tumbling down, leading the increasingly desperate characters to absurd measures. Tarantino's originality stems from his ability to focus on small details and follow them where they lead, even if they move the story away from conventional plot developments.

Perhaps no screenplay has ever found a better use for digressions. Indeed, the whole film seems to consist of digressions. No character ever says anything in a simple, straightforward manner. Jules could have simply told Yolanda, ""Be cool and no one's going to get hurt,"" which is just the type of line you'd find in a generic, run-of-the-mill action flick. Instead, he goes off on a tangent about what Fonzie is like. Tarantino savors every word of his characters, finding a potential wisecrack in every statement and infusing the dialogue with clever pop culture references. But the lines aren't just witty; they are full of intelligent observations about human behavior. Think of Mia's statement to Vincent, ""That's when you know you've found somebody special: when you can just shut the f--- up for a minute and comfortably enjoy the silence.""

What is the movie's purpose exactly? I'm not sure, but it does deal a lot with the theme of power. Marsellus is the sort of character who looms over the entire film while being invisible most of the time. The whole point of the big date sequence, which happens to be my favorite section of the film, is the power that Marsellus has over his men without even being present. This power is what gets Vincent to act in ways you would not ordinarily expect from a dumb, stoned gangster faced with an attractive woman whose husband has gone away. The power theme also helps explain one of the more controversial aspects of the film, its liberal use of the N-word. In this film, the word isn't just used as an epithet to describe blacks: Jules, for instance, at one point applies the term to Vincent. It has more to do with power than with race. The powerful characters utter the word to express their dominance over weaker characters. Most of these gangsters are not racist in practice. Indeed, they are intermingled racially, and have achieved a level of equality that surpasses the habits of many law-abiding citizens in our society. They resort to racial epithets because it's a patter that establishes their separateness from the non-criminal world.

There's a nice moral progression to the stories. We presume that Vincent hesitates to sleep with Mia out of fear rather than loyalty. Later, Butch's act of heroism could be motivated by honor, but we're never sure. The film ends, however, with Jules making a clear moral choice. Thus, the movie seems to be exploring whether violent outlaws can act other than for self-preservation.

Still, it's hard to find much of a larger meaning tying together these eccentric set of stories. None of the stories are really ""about"" anything. They certainly are not about hit-men pontificating about burgers. Nor is the film really a satire or a farce, although it contains elements of both. At times, it feels like a tale that didn't need to be told, but for whatever reason this movie tells it and does a better job than most films of its kind, or of any other kind."
7,tt0167260,"
Peter Jackson has done it.  He has created an all-encompassing epic saga of Tolkien's Lord of the Rings books, and after coming away from the final chapter, how does this rate not only as a film on its own, but as a part of the whole?

Perfect.

I've never seen a series like this.  A trilogy of movies created with such love and care and utter perfection of craft that you can't help but walk away and wonder how did Peter Jackson make this possible?  I have always loved the original ""Star Wars"" and ""Indiana Jones"" series for their epic storytelling, and just for just fitting in as a great moment in cinema. This should be, will be, remembered with as much revered fondness for generations to come.  They do not make films like these anymore.

As a stand alone film, it picks up immediately where ""Two Towers"" ends, so brush up before seeing it.  I've read the books, and the anticipation of seeing some of the more profound moments in this film made me kind of view it with a rushed sense of perspective.  I wanted to make sure everything in this film was done ""right"".  And when it happened, it was.  I will need to see this again to enjoy everything on a more casual level.

The cast comes through once more.  The musical score retains its beauty, elegance and power.  The special effects, notably Gollum again, are nothing less than breathtaking, and simply move the story along.  The battles are monumentally huge and exciting.  There are some liberties taken with the story, especially during the end with the homecoming, and yet, everything that needed to be covered regarding the main characters was handled. After the greatest moment of the series resolves itself, the story provided a breather.  And gives a good-bye to friends seen on screen for the last three years.  It was truly a bittersweet feeling in realizing that there will be no ""Rings"" movie in 2004.  I will miss this talented group of actors.

As with the first two, the film is very long, but goes by without you ever truly realizing it.  This film is so much more than a simple ""fantasy"" epic. It's a story about strength of character, friendship, loyalty and love. And while every member of the Fellowship has their part to play, I finally understood why some critics have said this series is a story about Sam. It's his unwavering resolve that led the quest to its victory.  Sean Astin is a true credit for adding the inspirational heart to this epic.  As as far as the ending goes, they ended it the way that it had to be ended. Jackson ended this film the way it should have been.

I will miss looking forward to a new ""Rings"" movie, but these movies provide hope that high-quality films can still be made without special effects taking over a story, bathroom humor, or a ""Top 40"" soundtrack.  George Lucas could learn a lot from these films about how not to alienate the fanbase.

Each film has earned a ""10"" from me for the last two years, which for me to give is a rarity.  This one, however, is as equally deserving as its two predecessors.  The Academy had better not look over this film for ""Best Picture"" of 2003.  To do so would be greatly disrespectful of the craft and care that anyone involved with these films put into them."
8,tt0060196,"
A sprawling Western epic that follows the adventures of three gunfighters looking for $200,000 in stolen gold, Sergio Leone's `The Good, the Bad, and the Ugly' is a masterpiece, one that continues to get better and better with each viewing.  In a way, it's a morality play, weighing the consequences of good and evil, but it does so in a realistic manner.  Sometimes, crime does pay, at least in the short term, and sometimes good does go unrewarded.  This film probably signaled the death knell of the traditional John Wayne `White Hat/Black Hat' Western.

The three main characters make the film.  Lee Van Cleef (`The Bad') is evil personified.  Totally ruthless, he'll do whatever it takes to get what he wants.  Clint Eastwood (`The Good') is the Man With No Name, not really `good' in a traditional sense . . . but he has a certain sense of honor and tries to do the right thing.  (Watch the scene when he gives a dying Confederate soldier a puff of his cigar - powerful, and it sums up everything that the Man With No Name is all about, without saying a single word.)  Eli Wallach (`The Ugly') is Tuco, and he's easily the most complex - if not the best - character in the film.  All impulse and rage, Tuco spins wildly throughout the movie, stealing, lying, pretending to be Clint Eastwood's best friend in one scene, trying to kill him in another - Tuco truly represents `the ugly' side of people.

The movie is long, but there's not a wasted scene in the film.  Each one slowly lets the film unfold with a certain style and grace, revealing more about each character and what's going on.  The pacing is incredible, as is the direction - Sergio Leone manages to build a lot of uncomfortable tension in the film, keeping the film from ever getting predictable.  Any typical Western cliché that you can possibly think of is either given a unique twist or utterly destroyed by Leone's masterful storytelling.  Of special mention is Ennio Morricone's score, which is absolutely perfect.  Two scenes - one in a Union prison camp, one in the climatic gunfight in the cemetery at the end of the film - are amazing on their own, but they become absolutely astonishing with combined with Morricone's powerful score. 

This movie is absolutely brilliant.  If you haven't seen it yet, I strongly urge to do so.  Immediately.  (And then, go watch `Unforgiven' . . . in a way, I think that `Unforgiven' is the sequel to `The Good, the Bad, and the Ugly - it's the story of what eventually happened to the Man With No Name.) `The Good, the Bad, and the Ugly' is easily one of the best Westerns ever made.  A++ 
"
9,tt0137523,"
When I first saw the previews for this movie, it had me interested.  A movie about guys who fight - it didn't seem to deep, but I thought it would provide entertainment.  I had heard buzz about, a few of my friends raved about it for a few days, and I was convinced.  I should see this movie.  I went to my local video store and picked up the last remaining DVD.  I popped it in, sat in amazement until the last credit rolled, and then watched it again.  And again.  And again.

This movie is dark and disturbing, however, it is equally smart and stylistic.  I found it hard to watch at points, but I couldn't turn my eyes away.  Fight Club makes many bold statements against the modern consumer-driven society, and produces Norton's best performance and Pitt's second best (12 Monkeys).

Norton plays an average-Joe who is living a dead-end life.  He needs something to change his life.  Tyler and Marla will take care of this, and that is all I want to give away.  Other comments will tell you more, but I suggest you let it all sink in while watching.  As for it's ending, it doesn't rival 'The Sixth Sense' - it blows it away.  One of the best movie endings I've seen.  Even better if you're a Pixies fan.

As for it being important, don't worry.  You will be hearing about this movie.  When 'A Clockwork Orange' came out, it was met with mixed reviews, deemed too dark and violent, and is now considered a classic.  These two movies share quite a bit in common - both were based on great books.  If you haven't read either, get to it.  Politicians will use this movie as a demonstration of careless and consequenceless violence in movies, and as a perfect example of what today's youth are being influenced by.

Watch this movie, and watch it again with some of your more intelligent friends.  10 out of 10.
"
